date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:19:13	62213/62213	---M-Z	200	added ('OK')	text/html	etag:%22f305-5a9d2e467e3fc-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/index.html	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/index.html	(from )
07:19:18	98/98	---M-Z	200	added ('OK')	text/plain	etag:%2259-5aa52c5ba33e9-gzip%22	https://www.devsnews.com/robots.txt		(from )
07:19:18	279/279	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Apr%202022%2014:19:18%20GMT	https://www.devsnews.com/template/orgafe/orgafe/site.webmanifest	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/site.webmanifest	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:18	766/766	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%222fe-5a9d2e46766fa%22	https://www.devsnews.com/template/orgafe/orgafe/img/favicon.ico	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/img/favicon.ico	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:19	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%22235ed-5a9d2e4665d54-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/css/bootstrap.min.css	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/css/bootstrap.min.css	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:20	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%22b78-5a9d2e4665d54-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/css/owl.carousel.min.css	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/css/owl.carousel.min.css	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:20	68606/68606	---M-Z	200	added ('OK')	text/css	etag:%2210bfe-5a9d2e4665d54-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/css/animate.min.css	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/css/animate.min.css	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:21	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5a9d2e4665d54-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/css/magnific-popup.css	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/css/magnific-popup.css	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:21	34680/34680	---M-Z	200	added ('OK')	text/css	etag:%228778-5a9d2e4665d54-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/css/fontawesome-all.min.css	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/css/fontawesome-all.min.css	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:21	11114/11114	---M-Z	200	added ('OK')	text/css	etag:%222b6a-5a9d2e4665d54-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/css/dripicons.css	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/css/dripicons.css	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
07:19:21	3893/3893	---M-Z	200	added ('OK')	text/css	etag:%22f35-5a9d2e4665d54-gzip%22	https://www.devsnews.com/template/orgafe/orgafe/css/meanmenu.css	C:/My%20Web%20Sites/farm2/www.devsnews.com/template/orgafe/orgafe/css/meanmenu.css	(from https://www.devsnews.com/template/orgafe/orgafe/index.html)
